event_id,customer_id,brand_id,event_time,event_type,event_properties
1,C0001,brand_b,8/20/2023 19:00,signup,
2,C0001,brand_b,8/21/2023 19:00,view_onboarding_step,step=1
3,C0001,brand_b,8/22/2023 22:00,view_onboarding_step,step=2
4,C0001,brand_b,8/23/2023 0:00,view_onboarding_step,step=3
5,C0001,brand_b,8/24/2023 11:00,complete_onboarding,
6,C0001,brand_b,4/27/2024 11:00,session,
7,C0001,brand_b,6/22/2024 7:00,session,
8,C0001,brand_b,9/15/2025 22:00,session,
9,C0001,brand_b,12/13/2024 12:00,session,
10,C0001,brand_b,10/26/2023 20:00,session,
11,C0001,brand_b,7/11/2024 8:00,session,
12,C0001,brand_b,2/21/2024 22:00,session,
13,C0001,brand_b,7/1/2024 13:00,session,
14,C0001,brand_b,10/1/2025 15:00,session,
15,C0001,brand_b,10/8/2023 14:00,purchase,
16,C0001,brand_b,10/13/2023 14:00,delivery,delay_days=5
17,C0001,brand_b,10/15/2023 11:00,purchase,
18,C0001,brand_b,10/19/2023 11:00,delivery,delay_days=4
19,C0001,brand_b,2/23/2024 16:00,purchase,
20,C0001,brand_b,2/29/2024 16:00,delivery,delay_days=6
21,C0001,brand_b,7/25/2024 16:00,purchase,
22,C0001,brand_b,8/2/2024 16:00,delivery,delay_days=8
23,C0001,brand_b,8/21/2023 17:00,email_sent,campaign=welcome
24,C0001,brand_b,10/25/2025 18:00,email_sent,campaign=winback_20pct
25,C0001,brand_b,10/27/2025 9:00,email_opened,campaign=winback_20pct
26,C0002,brand_a,2/27/2025 20:00,signup,
27,C0002,brand_a,3/2/2025 11:00,view_onboarding_step,step=1
28,C0002,brand_a,2/28/2025 2:00,view_onboarding_step,step=2
29,C0002,brand_a,4/2/2025 22:00,session,
30,C0002,brand_a,10/22/2025 16:00,session,
31,C0002,brand_a,9/10/2025 14:00,session,
32,C0002,brand_a,4/8/2025 11:00,session,
33,C0002,brand_a,6/28/2025 10:00,session,
34,C0002,brand_a,8/4/2025 19:00,session,
35,C0002,brand_a,5/4/2025 12:00,session,
36,C0002,brand_a,6/23/2025 10:00,session,
37,C0002,brand_a,10/12/2025 16:00,session,
38,C0002,brand_a,8/5/2025 9:00,purchase,
39,C0002,brand_a,8/9/2025 9:00,delivery,delay_days=4
40,C0002,brand_a,2/28/2025 18:00,email_sent,campaign=welcome
41,C0003,brand_a,12/12/2023 21:00,signup,
42,C0003,brand_a,12/12/2023 23:00,view_onboarding_step,step=1
43,C0003,brand_a,12/14/2023 16:00,view_onboarding_step,step=2
44,C0003,brand_a,12/15/2023 11:00,view_onboarding_step,step=3
45,C0003,brand_a,12/13/2023 11:00,view_onboarding_step,step=4
46,C0003,brand_a,3/16/2024 10:00,session,
47,C0003,brand_a,10/14/2024 17:00,session,
48,C0003,brand_a,10/16/2024 15:00,session,
49,C0003,brand_a,8/22/2024 18:00,session,
50,C0003,brand_a,10/15/2024 16:00,session,
51,C0003,brand_a,3/27/2024 7:00,session,
52,C0003,brand_a,2/14/2024 16:00,purchase,
53,C0003,brand_a,2/17/2024 16:00,delivery,delay_days=3
54,C0003,brand_a,1/7/2025 16:00,purchase,
55,C0003,brand_a,1/10/2025 16:00,delivery,delay_days=3
56,C0003,brand_a,5/14/2025 9:00,purchase,
57,C0003,brand_a,5/17/2025 9:00,delivery,delay_days=3
58,C0003,brand_a,12/12/2023 22:00,email_sent,campaign=welcome
59,C0004,brand_b,7/5/2024 8:00,signup,
60,C0004,brand_b,7/7/2024 7:00,view_onboarding_step,step=1
61,C0004,brand_b,7/5/2024 18:00,complete_onboarding,
62,C0004,brand_b,9/16/2025 10:00,session,
63,C0004,brand_b,3/3/2025 22:00,session,
64,C0004,brand_b,9/22/2024 9:00,session,
65,C0004,brand_b,1/24/2025 10:00,session,
66,C0004,brand_b,2/2/2025 21:00,session,
67,C0004,brand_b,5/29/2025 9:00,session,
68,C0004,brand_b,7/17/2024 17:00,session,
69,C0004,brand_b,10/3/2024 17:00,session,
70,C0004,brand_b,12/15/2024 12:00,session,
71,C0004,brand_b,7/16/2024 12:00,purchase,
72,C0004,brand_b,7/19/2024 12:00,delivery,delay_days=3
73,C0004,brand_b,7/6/2024 0:00,email_sent,campaign=welcome
74,C0004,brand_b,10/25/2025 10:00,email_sent,campaign=winback_20pct
75,C0005,brand_b,3/21/2025 16:00,signup,
76,C0005,brand_b,3/23/2025 11:00,view_onboarding_step,step=1
77,C0005,brand_b,3/24/2025 3:00,view_onboarding_step,step=2
78,C0005,brand_b,3/22/2025 11:00,complete_onboarding,
79,C0005,brand_b,7/20/2025 12:00,session,
80,C0005,brand_b,6/15/2025 16:00,session,
81,C0005,brand_b,9/2/2025 17:00,session,
82,C0005,brand_b,7/30/2025 15:00,session,
83,C0005,brand_b,8/22/2025 10:00,session,
84,C0005,brand_b,5/7/2025 20:00,session,
85,C0005,brand_b,9/23/2025 17:00,session,
86,C0005,brand_b,7/31/2025 22:00,session,
87,C0005,brand_b,3/27/2025 9:00,purchase,
88,C0005,brand_b,3/31/2025 9:00,delivery,delay_days=4
89,C0005,brand_b,4/10/2025 16:00,purchase,
90,C0005,brand_b,4/14/2025 16:00,delivery,delay_days=4
91,C0005,brand_b,4/26/2025 19:00,purchase,
92,C0005,brand_b,4/29/2025 19:00,delivery,delay_days=3
93,C0005,brand_b,3/22/2025 13:00,email_sent,campaign=welcome
94,C0006,brand_a,7/24/2024 18:00,signup,
95,C0006,brand_a,7/25/2024 0:00,view_onboarding_step,step=1
96,C0006,brand_a,7/27/2024 6:00,complete_onboarding,
97,C0006,brand_a,11/20/2024 19:00,session,
98,C0006,brand_a,8/18/2024 12:00,session,
99,C0006,brand_a,9/2/2024 8:00,session,
100,C0006,brand_a,10/30/2024 13:00,session,
101,C0006,brand_a,9/8/2024 8:00,session,
102,C0006,brand_a,8/7/2024 20:00,purchase,
103,C0006,brand_a,8/9/2024 20:00,delivery,delay_days=2
104,C0006,brand_a,7/25/2024 4:00,email_sent,campaign=welcome
105,C0006,brand_a,10/25/2025 19:00,email_sent,campaign=winback_20pct
106,C0006,brand_a,10/26/2025 18:00,email_opened,campaign=winback_20pct
107,C0006,brand_a,10/27/2025 6:00,email_clicked,campaign=winback_20pct
108,C0007,brand_c,7/14/2024 13:00,signup,
109,C0007,brand_c,7/16/2024 18:00,view_onboarding_step,step=1
110,C0007,brand_c,7/15/2024 9:00,view_onboarding_step,step=2
111,C0007,brand_c,7/15/2024 22:00,view_onboarding_step,step=3
112,C0007,brand_c,7/15/2024 9:00,view_onboarding_step,step=4
113,C0007,brand_c,7/16/2024 17:00,complete_onboarding,
114,C0007,brand_c,6/24/2025 20:00,session,
115,C0007,brand_c,6/1/2025 15:00,session,
116,C0007,brand_c,8/16/2024 9:00,session,
117,C0007,brand_c,10/15/2025 19:00,session,
118,C0007,brand_c,11/16/2024 9:00,session,
119,C0007,brand_c,10/20/2024 18:00,purchase,
120,C0007,brand_c,10/27/2024 18:00,delivery,delay_days=7
121,C0007,brand_c,11/11/2024 20:00,purchase,
122,C0007,brand_c,11/11/2024 20:00,delivery,delay_days=0
123,C0007,brand_c,7/15/2024 7:00,email_sent,campaign=welcome
124,C0007,brand_c,10/25/2025 11:00,email_sent,campaign=winback_20pct
125,C0007,brand_c,10/26/2025 2:00,email_opened,campaign=winback_20pct
126,C0008,brand_b,6/24/2023 8:00,signup,
127,C0008,brand_b,6/25/2023 11:00,view_onboarding_step,step=1
128,C0008,brand_b,6/26/2023 20:00,view_onboarding_step,step=2
129,C0008,brand_b,6/25/2023 2:00,view_onboarding_step,step=3
130,C0008,brand_b,9/5/2025 8:00,session,
131,C0008,brand_b,11/12/2023 8:00,session,
132,C0008,brand_b,12/9/2023 19:00,session,
133,C0008,brand_b,8/17/2023 18:00,session,
134,C0008,brand_b,11/3/2023 13:00,session,
135,C0008,brand_b,8/17/2024 20:00,session,
