brand_id,date,metric_name,value
brand_a,5/6/2025,churn_rate_30d,0.1409
brand_a,5/6/2025,avg_order_value,76.23
brand_a,5/6/2025,ltv_cac_ratio,3.095
brand_a,5/6/2025,return_rate,0.0824
brand_a,5/6/2025,discount_revenue_share,0.3171
brand_a,5/6/2025,active_users_30d,1039
brand_a,5/7/2025,churn_rate_30d,0.1301
brand_a,5/7/2025,avg_order_value,80.56
brand_a,5/7/2025,ltv_cac_ratio,3.13
brand_a,5/7/2025,return_rate,0.0856
brand_a,5/7/2025,discount_revenue_share,0.3201
brand_a,5/7/2025,active_users_30d,765
brand_a,5/8/2025,churn_rate_30d,0.1509
brand_a,5/8/2025,avg_order_value,76.97
brand_a,5/8/2025,ltv_cac_ratio,3.305
brand_a,5/8/2025,return_rate,0.087
brand_a,5/8/2025,discount_revenue_share,0.3151
brand_a,5/8/2025,active_users_30d,1230
brand_a,5/9/2025,churn_rate_30d,0.1231
brand_a,5/9/2025,avg_order_value,76.68
brand_a,5/9/2025,ltv_cac_ratio,3.101
brand_a,5/9/2025,return_rate,0.0806
brand_a,5/9/2025,discount_revenue_share,0.3175
brand_a,5/9/2025,active_users_30d,1104
brand_a,5/10/2025,churn_rate_30d,0.1341
brand_a,5/10/2025,avg_order_value,78.8
brand_a,5/10/2025,ltv_cac_ratio,3.03
brand_a,5/10/2025,return_rate,0.0733
brand_a,5/10/2025,discount_revenue_share,0.3235
brand_a,5/10/2025,active_users_30d,464
brand_a,5/11/2025,churn_rate_30d,0.1561
brand_a,5/11/2025,avg_order_value,78.53
brand_a,5/11/2025,ltv_cac_ratio,3.229
brand_a,5/11/2025,return_rate,0.0846
brand_a,5/11/2025,discount_revenue_share,0.3114
brand_a,5/11/2025,active_users_30d,529
brand_a,5/12/2025,churn_rate_30d,0.1368
brand_a,5/12/2025,avg_order_value,78.42
brand_a,5/12/2025,ltv_cac_ratio,3.163
brand_a,5/12/2025,return_rate,0.085
brand_a,5/12/2025,discount_revenue_share,0.345
brand_a,5/12/2025,active_users_30d,953
brand_a,5/13/2025,churn_rate_30d,0.1497
brand_a,5/13/2025,avg_order_value,80.19
brand_a,5/13/2025,ltv_cac_ratio,3.066
brand_a,5/13/2025,return_rate,0.0912
brand_a,5/13/2025,discount_revenue_share,0.3268
brand_a,5/13/2025,active_users_30d,957
brand_a,5/14/2025,churn_rate_30d,0.1459
brand_a,5/14/2025,avg_order_value,76.16
brand_a,5/14/2025,ltv_cac_ratio,3.309
brand_a,5/14/2025,return_rate,0.0821
brand_a,5/14/2025,discount_revenue_share,0.3113
brand_a,5/14/2025,active_users_30d,925
brand_a,5/15/2025,churn_rate_30d,0.1452
brand_a,5/15/2025,avg_order_value,77.39
brand_a,5/15/2025,ltv_cac_ratio,3.205
brand_a,5/15/2025,return_rate,0.0821
brand_a,5/15/2025,discount_revenue_share,0.3364
brand_a,5/15/2025,active_users_30d,1075
brand_a,5/16/2025,churn_rate_30d,0.1299
brand_a,5/16/2025,avg_order_value,78.26
brand_a,5/16/2025,ltv_cac_ratio,3.016
brand_a,5/16/2025,return_rate,0.0718
brand_a,5/16/2025,discount_revenue_share,0.3056
brand_a,5/16/2025,active_users_30d,1245
brand_a,5/17/2025,churn_rate_30d,0.1258
brand_a,5/17/2025,avg_order_value,76.82
brand_a,5/17/2025,ltv_cac_ratio,3.346
brand_a,5/17/2025,return_rate,0.0877
brand_a,5/17/2025,discount_revenue_share,0.3076
brand_a,5/17/2025,active_users_30d,638
brand_a,5/18/2025,churn_rate_30d,0.1406
brand_a,5/18/2025,avg_order_value,75.42
brand_a,5/18/2025,ltv_cac_ratio,3.243
brand_a,5/18/2025,return_rate,0.0738
brand_a,5/18/2025,discount_revenue_share,0.3384
brand_a,5/18/2025,active_users_30d,739
brand_a,5/19/2025,churn_rate_30d,0.1336
brand_a,5/19/2025,avg_order_value,77.86
brand_a,5/19/2025,ltv_cac_ratio,3.2
brand_a,5/19/2025,return_rate,0.0754
brand_a,5/19/2025,discount_revenue_share,0.3182
brand_a,5/19/2025,active_users_30d,1005
brand_a,5/20/2025,churn_rate_30d,0.1405
brand_a,5/20/2025,avg_order_value,77.77
brand_a,5/20/2025,ltv_cac_ratio,3.219
brand_a,5/20/2025,return_rate,0.0757
brand_a,5/20/2025,discount_revenue_share,0.3133
brand_a,5/20/2025,active_users_30d,948
brand_a,5/21/2025,churn_rate_30d,0.1342
brand_a,5/21/2025,avg_order_value,80.77
brand_a,5/21/2025,ltv_cac_ratio,3.24
brand_a,5/21/2025,return_rate,0.075
brand_a,5/21/2025,discount_revenue_share,0.3177
brand_a,5/21/2025,active_users_30d,1051
brand_a,5/22/2025,churn_rate_30d,0.1316
brand_a,5/22/2025,avg_order_value,78.11
brand_a,5/22/2025,ltv_cac_ratio,3.158
brand_a,5/22/2025,return_rate,0.0809
brand_a,5/22/2025,discount_revenue_share,0.3273
brand_a,5/22/2025,active_users_30d,1169
brand_a,5/23/2025,churn_rate_30d,0.14
brand_a,5/23/2025,avg_order_value,76.96
brand_a,5/23/2025,ltv_cac_ratio,3.134
brand_a,5/23/2025,return_rate,0.0832
brand_a,5/23/2025,discount_revenue_share,0.3199
brand_a,5/23/2025,active_users_30d,1098
brand_a,5/24/2025,churn_rate_30d,0.1607
brand_a,5/24/2025,avg_order_value,80.56
brand_a,5/24/2025,ltv_cac_ratio,3.259
brand_a,5/24/2025,return_rate,0.0781
brand_a,5/24/2025,discount_revenue_share,0.309
brand_a,5/24/2025,active_users_30d,512
brand_a,5/25/2025,churn_rate_30d,0.1204
brand_a,5/25/2025,avg_order_value,80.51
brand_a,5/25/2025,ltv_cac_ratio,3.175
brand_a,5/25/2025,return_rate,0.072
brand_a,5/25/2025,discount_revenue_share,0.3177
brand_a,5/25/2025,active_users_30d,415
brand_a,5/26/2025,churn_rate_30d,0.1401
brand_a,5/26/2025,avg_order_value,76.4
brand_a,5/26/2025,ltv_cac_ratio,3.107
brand_a,5/26/2025,return_rate,0.0808
brand_a,5/26/2025,discount_revenue_share,0.3289
brand_a,5/26/2025,active_users_30d,1135
brand_a,5/27/2025,churn_rate_30d,0.1489
brand_a,5/27/2025,avg_order_value,77.39
brand_a,5/27/2025,ltv_cac_ratio,3.234
brand_a,5/27/2025,return_rate,0.0749
brand_a,5/27/2025,discount_revenue_share,0.314
brand_a,5/27/2025,active_users_30d,484
brand_a,5/28/2025,churn_rate_30d,0.153
brand_a,5/28/2025,avg_order_value,80.47
brand_a,5/28/2025,ltv_cac_ratio,3.189
brand_a,5/28/2025,return_rate,0.0811
brand_a,5/28/2025,discount_revenue_share,0.3226
brand_a,5/28/2025,active_users_30d,728
brand_a,5/29/2025,churn_rate_30d,0.1345
brand_a,5/29/2025,avg_order_value,78.27
brand_a,5/29/2025,ltv_cac_ratio,3.261
brand_a,5/29/2025,return_rate,0.0728
brand_a,5/29/2025,discount_revenue_share,0.3223
brand_a,5/29/2025,active_users_30d,902
brand_a,5/30/2025,churn_rate_30d,0.1353
brand_a,5/30/2025,avg_order_value,79.7
brand_a,5/30/2025,ltv_cac_ratio,3.366
brand_a,5/30/2025,return_rate,0.0827
brand_a,5/30/2025,discount_revenue_share,0.3128
brand_a,5/30/2025,active_users_30d,1200
brand_a,5/31/2025,churn_rate_30d,0.1367
brand_a,5/31/2025,avg_order_value,76.34
brand_a,5/31/2025,ltv_cac_ratio,3.209
brand_a,5/31/2025,return_rate,0.0855
brand_a,5/31/2025,discount_revenue_share,0.3233
brand_a,5/31/2025,active_users_30d,1242
brand_a,6/1/2025,churn_rate_30d,0.123
brand_a,6/1/2025,avg_order_value,76.96
brand_a,6/1/2025,ltv_cac_ratio,3.306
brand_a,6/1/2025,return_rate,0.0762
brand_a,6/1/2025,discount_revenue_share,0.3252
brand_a,6/1/2025,active_users_30d,550
brand_a,6/2/2025,churn_rate_30d,0.128
brand_a,6/2/2025,avg_order_value,78.26
brand_a,6/2/2025,ltv_cac_ratio,3.068
brand_a,6/2/2025,return_rate,0.0881
